"C_gamma","kappa0","error_rate","power"
0.03,0.1,0.885,0.977
0.03,0.2,0.556,0.988
0.03,0.3,0.169,0.999
0.03,0.4,0.011,0.999
0.03,0.5,0,1
0.03,0.6,0,1
0.03,0.7,0,1
0.03,0.8,0,1
0.03,0.9,0,1
0.03,1,0,1
0.03,1.1,0,1
0.03,1.2,0,1
0.03,1.3,0,1
0.03,1.4,0,1
0.03,1.5,0,0.999
0.03,1.6,0,0.997
0.03,1.7,0,0.978
0.03,1.8,0,0.901
0.03,1.9,0,0.75
0.03,2,0,0.527
0.03,2.1,0,0.269
0.03,2.2,0,0.129
0.03,2.3,0,0.028
0.03,2.4,0,0.001
0.03,2.5,0,0
0.03,2.6,0,0
0.03,2.7,0,0
0.03,2.8,0,0
0.03,2.9,0,0
0.03,3,0,0
0.03,3.1,0,0
0.03,3.2,0,0
0.03,3.3,0,0
0.03,3.4,0,0
0.03,3.5,0,0
0.05,0.1,0.902,1
0.1,0.1,0.913,1
0.5,0.1,0.904,1
1,0.1,0.898,1
0.05,0.2,0.646,1
0.1,0.2,0.628,1
0.5,0.2,0.632,1
1,0.2,0.625,1
0.05,0.3,0.203,1
0.1,0.3,0.223,1
0.5,0.3,0.211,1
1,0.3,0.205,1
0.05,0.4,0.003,1
0.1,0.4,0.007,1
0.5,0.4,0.004,1
1,0.4,0.009,1
0.05,0.5,0,1
0.1,0.5,0,1
0.5,0.5,0.001,1
1,0.5,0,1
0.05,0.6,0,1
0.1,0.6,0,1
0.5,0.6,0,1
1,0.6,0,1
0.05,0.7,0,1
0.1,0.7,0,1
0.5,0.7,0,1
1,0.7,0,1
0.05,0.8,0,1
0.1,0.8,0,1
0.5,0.8,0,1
1,0.8,0,1
0.05,0.9,0,1
0.1,0.9,0,1
0.5,0.9,0,1
1,0.9,0,1
0.05,1,0,1
0.1,1,0,1
0.5,1,0,1
1,1,0,1
0.05,1.1,0,1
0.1,1.1,0,1
0.5,1.1,0,1
1,1.1,0,1
0.05,1.2,0,1
0.1,1.2,0,1
0.5,1.2,0,1
1,1.2,0,1
0.05,1.3,0,1
0.1,1.3,0,1
0.5,1.3,0,1
1,1.3,0,1
0.05,1.4,0,1
0.1,1.4,0,1
0.5,1.4,0,1
1,1.4,0,1
0.05,1.5,0,1
0.1,1.5,0,1
0.5,1.5,0,1
1,1.5,0,1
0.05,1.6,0,1
0.1,1.6,0,1
0.5,1.6,0,1
1,1.6,0,1
0.05,1.7,0,0.999
0.1,1.7,0,1
0.5,1.7,0,1
1,1.7,0,1
0.05,1.8,0,0.997
0.1,1.8,0,1
0.5,1.8,0,1
1,1.8,0,1
0.05,1.9,0,0.973
0.1,1.9,0,1
0.5,1.9,0,1
1,1.9,0,1
0.05,2,0,0.911
0.1,2,0,0.997
0.5,2,0,0.998
1,2,0,0.996
0.05,2.1,0,0.738
0.1,2.1,0,0.97
0.5,2.1,0,0.97
1,2.1,0,0.975
0.05,2.2,0,0.461
0.1,2.2,0,0.86
0.5,2.2,0,0.85
1,2.2,0,0.863
0.05,2.3,0,0.219
0.1,2.3,0,0.616
0.5,2.3,0,0.609
1,2.3,0,0.632
0.05,2.4,0,0.073
0.1,2.4,0,0.333
0.5,2.4,0,0.363
1,2.4,0,0.343
0.05,2.5,0,0.009
0.1,2.5,0,0.131
0.5,2.5,0,0.132
1,2.5,0,0.12
0.05,2.6,0,0.002
0.1,2.6,0,0.032
0.5,2.6,0,0.021
1,2.6,0,0.03
0.05,2.7,0,0
0.1,2.7,0,0.006
0.5,2.7,0,0.004
1,2.7,0,0.005
0.05,2.8,0,0
0.1,2.8,0,0.001
0.5,2.8,0,0
1,2.8,0,0.001
0.05,2.9,0,0
0.1,2.9,0,0
0.5,2.9,0,0
1,2.9,0,0
0.05,3,0,0
0.1,3,0,0
0.5,3,0,0
1,3,0,0
0.05,3.1,0,0
0.1,3.1,0,0
0.5,3.1,0,0
1,3.1,0,0
0.05,3.2,0,0
0.1,3.2,0,0
0.5,3.2,0,0
1,3.2,0,0
0.05,3.3,0,0
0.1,3.3,0,0
0.5,3.3,0,0
1,3.3,0,0
0.05,3.4,0,0
0.1,3.4,0,0
0.5,3.4,0,0
1,3.4,0,0
0.05,3.5,0,0
0.1,3.5,0,0
0.5,3.5,0,0
1,3.5,0,0
