n,kappa0,C_gamma,error_rate,power
500,0.1,0.01,0.882,1.0
500,0.2,0.01,0.618,1.0
500,0.3,0.01,0.313,1.0
500,0.4,0.01,0.047,1.0
500,0.5,0.01,0.002,0.998
500,0.6,0.01,0.0,0.973
500,0.7,0.01,0.0,0.763
500,0.8,0.01,0.0,0.322
500,0.9,0.01,0.0,0.046
500,1.0,0.01,0.0,0.001
500,1.1,0.01,0.0,0.0
500,1.2,0.01,0.0,0.0
500,1.3,0.01,0.0,0.0
500,1.4,0.01,0.0,0.0
500,1.5,0.01,0.0,0.0
500,1.6,0.01,0.0,0.0
500,1.7,0.01,0.0,0.0
500,1.8,0.01,0.0,0.0
500,1.9,0.01,0.0,0.0
500,2.0,0.01,0.0,0.0
500,2.1,0.01,0.0,0.0
500,2.2,0.01,0.0,0.0
500,2.3,0.01,0.0,0.0
500,2.4,0.01,0.0,0.0
500,2.5,0.01,0.0,0.0
500,2.6,0.01,0.0,0.0
500,2.7,0.01,0.0,0.0
500,2.8,0.01,0.0,0.0
500,2.9,0.01,0.0,0.0
500,3.0,0.01,0.0,0.0
500,3.1,0.01,0.0,0.0
500,3.2,0.01,0.0,0.0
500,3.3,0.01,0.0,0.0
500,3.4,0.01,0.0,0.0
500,3.5,0.01,0.0,0.0
500,0.1,0.03,0.968,1.0
500,0.2,0.03,0.886,1.0
500,0.3,0.03,0.721,1.0
500,0.4,0.03,0.533,1.0
500,0.5,0.03,0.335,1.0
500,0.6,0.03,0.177,1.0
500,0.7,0.03,0.061,1.0
500,0.8,0.03,0.014,0.999
500,0.9,0.03,0.001,0.999
500,1.0,0.03,0.0,0.991
500,1.1,0.03,0.0,0.972
500,1.2,0.03,0.0,0.889
500,1.3,0.03,0.0,0.723
500,1.4,0.03,0.0,0.449
500,1.5,0.03,0.0,0.214
500,1.6,0.03,0.0,0.069
500,1.7,0.03,0.0,0.013
500,1.8,0.03,0.0,0.001
500,1.9,0.03,0.0,0.0
500,2.0,0.03,0.0,0.0
500,2.1,0.03,0.0,0.0
500,2.2,0.03,0.0,0.0
500,2.3,0.03,0.0,0.0
500,2.4,0.03,0.0,0.0
500,2.5,0.03,0.0,0.0
500,2.6,0.03,0.0,0.0
500,2.7,0.03,0.0,0.0
500,2.8,0.03,0.0,0.0
500,2.9,0.03,0.0,0.0
500,3.0,0.03,0.0,0.0
500,3.1,0.03,0.0,0.0
500,3.2,0.03,0.0,0.0
500,3.3,0.03,0.0,0.0
500,3.4,0.03,0.0,0.0
500,3.5,0.03,0.0,0.0
500,0.1,0.05,0.982,1.0
500,0.2,0.05,0.912,1.0
500,0.3,0.05,0.857,1.0
500,0.4,0.05,0.733,1.0
500,0.5,0.05,0.589,1.0
500,0.6,0.05,0.44,1.0
500,0.7,0.05,0.25,1.0
500,0.8,0.05,0.155,1.0
500,0.9,0.05,0.072,1.0
500,1.0,0.05,0.02,1.0
500,1.1,0.05,0.005,1.0
500,1.2,0.05,0.003,1.0
500,1.3,0.05,0.0,0.999
500,1.4,0.05,0.0,0.993
500,1.5,0.05,0.0,0.97
500,1.6,0.05,0.0,0.923
500,1.7,0.05,0.0,0.833
500,1.8,0.05,0.0,0.671
500,1.9,0.05,0.0,0.462
500,2.0,0.05,0.0,0.28
500,2.1,0.05,0.0,0.147
500,2.2,0.05,0.0,0.046
500,2.3,0.05,0.0,0.009
500,2.4,0.05,0.0,0.003
500,2.5,0.05,0.0,0.0
500,2.6,0.05,0.0,0.0
500,2.7,0.05,0.0,0.0
500,2.8,0.05,0.0,0.0
500,2.9,0.05,0.0,0.0
500,3.0,0.05,0.0,0.0
500,3.1,0.05,0.0,0.0
500,3.2,0.05,0.0,0.0
500,3.3,0.05,0.0,0.0
500,3.4,0.05,0.0,0.0
500,3.5,0.05,0.0,0.0
500,0.1,0.07,0.981,1.0
500,0.2,0.07,0.945,1.0
500,0.3,0.07,0.851,1.0
500,0.4,0.07,0.716,1.0
500,0.5,0.07,0.555,1.0
500,0.6,0.07,0.425,1.0
500,0.7,0.07,0.291,1.0
500,0.8,0.07,0.149,1.0
500,0.9,0.07,0.078,1.0
500,1.0,0.07,0.01,1.0
500,1.1,0.07,0.003,1.0
500,1.2,0.07,0.0,1.0
500,1.3,0.07,0.0,0.996
500,1.4,0.07,0.0,0.994
500,1.5,0.07,0.0,0.967
500,1.6,0.07,0.0,0.92
500,1.7,0.07,0.0,0.821
500,1.8,0.07,0.0,0.681
500,1.9,0.07,0.0,0.49
500,2.0,0.07,0.0,0.277
500,2.1,0.07,0.0,0.131
500,2.2,0.07,0.0,0.04
500,2.3,0.07,0.0,0.014
500,2.4,0.07,0.0,0.001
500,2.5,0.07,0.0,0.001
500,2.6,0.07,0.0,0.0
500,2.7,0.07,0.0,0.0
500,2.8,0.07,0.0,0.0
500,2.9,0.07,0.0,0.0
500,3.0,0.07,0.0,0.0
500,3.1,0.07,0.0,0.0
500,3.2,0.07,0.0,0.0
500,3.3,0.07,0.0,0.0
500,3.4,0.07,0.0,0.0
500,3.5,0.07,0.0,0.0
500,0.1,0.1,0.978,1.0
500,0.2,0.1,0.93,1.0
500,0.3,0.1,0.833,1.0
500,0.4,0.1,0.693,1.0
500,0.5,0.1,0.586,1.0
500,0.6,0.1,0.441,1.0
500,0.7,0.1,0.268,1.0
500,0.8,0.1,0.145,1.0
500,0.9,0.1,0.085,1.0
500,1.0,0.1,0.026,0.999
500,1.1,0.1,0.005,1.0
500,1.2,0.1,0.002,1.0
500,1.3,0.1,0.0,0.997
500,1.4,0.1,0.0,0.992
500,1.5,0.1,0.0,0.973
500,1.6,0.1,0.0,0.924
500,1.7,0.1,0.0,0.835
500,1.8,0.1,0.0,0.683
500,1.9,0.1,0.0,0.488
500,2.0,0.1,0.0,0.272
500,2.1,0.1,0.0,0.132
500,2.2,0.1,0.0,0.042
500,2.3,0.1,0.0,0.014
500,2.4,0.1,0.0,0.002
500,2.5,0.1,0.0,0.0
500,2.6,0.1,0.0,0.0
500,2.7,0.1,0.0,0.0
500,2.8,0.1,0.0,0.0
500,2.9,0.1,0.0,0.0
500,3.0,0.1,0.0,0.0
500,3.1,0.1,0.0,0.0
500,3.2,0.1,0.0,0.0
500,3.3,0.1,0.0,0.0
500,3.4,0.1,0.0,0.0
500,3.5,0.1,0.0,0.0
500,0.1,0.5,0.98,1.0
500,0.2,0.5,0.939,1.0
500,0.3,0.5,0.851,1.0
500,0.4,0.5,0.714,1.0
500,0.5,0.5,0.591,1.0
500,0.6,0.5,0.399,1.0
500,0.7,0.5,0.266,1.0
500,0.8,0.5,0.166,1.0
500,0.9,0.5,0.066,1.0
