"","snr","trial","stoppingT"
"1",0,"V1",5
"2",0,"V2",2400
"3",0,"V3",2400
"4",0,"V4",2400
"5",0,"V5",2400
"6",0,"V6",2400
"7",0,"V7",2400
"8",0,"V8",2400
"9",0,"V9",2400
"10",0,"V10",2400
"11",0,"V11",2400
"12",0,"V12",2400
"13",0,"V13",14
"14",0,"V14",2400
"15",0,"V15",2400
"16",0,"V16",2400
"17",0,"V17",2400
"18",0,"V18",2400
"19",0,"V19",2400
"20",0,"V20",2400
"21",0,"V21",2400
"22",0,"V22",2400
"23",0,"V23",2400
"24",0,"V24",2400
"25",0,"V25",2400
"26",0,"V26",34
"27",0,"V27",2400
"28",0,"V28",2400
"29",0,"V29",2400
"30",0,"V30",908
"31",0,"V31",2400
"32",0,"V32",2400
"33",0,"V33",2151
"34",0,"V34",2400
"35",0,"V35",2400
"36",0,"V36",2400
"37",0,"V37",2400
"38",0,"V38",2400
"39",0,"V39",2400
"40",0,"V40",2400
"41",0,"V41",2400
"42",0,"V42",21
"43",0,"V43",2400
"44",0,"V44",2400
"45",0,"V45",2400
"46",0,"V46",2400
"47",0,"V47",2400
"48",0,"V48",2400
"49",0,"V49",2400
"50",0,"V50",2400
"51",0,"V51",2400
"52",0,"V52",2400
"53",0,"V53",2400
"54",0,"V54",2400
"55",0,"V55",2400
"56",0,"V56",2400
"57",0,"V57",2400
"58",0,"V58",2400
"59",0,"V59",2400
"60",0,"V60",2090
"61",0,"V61",2400
"62",0,"V62",2400
"63",0,"V63",2400
"64",0,"V64",2400
"65",0,"V65",2400
"66",0,"V66",2400
"67",0,"V67",2400
"68",0,"V68",2400
"69",0,"V69",2400
"70",0,"V70",2400
"71",0,"V71",2400
"72",0,"V72",2400
"73",0,"V73",2400
"74",0,"V74",2400
"75",0,"V75",2400
"76",0,"V76",2400
"77",0,"V77",1932
"78",0,"V78",2400
"79",0,"V79",2400
"80",0,"V80",2400
"81",0,"V81",2400
"82",0,"V82",45
"83",0,"V83",2400
"84",0,"V84",2400
"85",0,"V85",47
"86",0,"V86",961
"87",0,"V87",2400
"88",0,"V88",2400
"89",0,"V89",2400
"90",0,"V90",2400
"91",0,"V91",2400
"92",0,"V92",2400
"93",0,"V93",2400
"94",0,"V94",2400
"95",0,"V95",2400
"96",0,"V96",2400
"97",0,"V97",2400
"98",0,"V98",2400
"99",0,"V99",2400
"100",0,"V100",2400
"101",0,"V101",2400
"102",0,"V102",2400
"103",0,"V103",2400
"104",0,"V104",2400
"105",0,"V105",2400
"106",0,"V106",2400
"107",0,"V107",2400
"108",0,"V108",2400
"109",0,"V109",2400
"110",0,"V110",693
"111",0,"V111",1959
"112",0,"V112",2400
"113",0,"V113",2400
"114",0,"V114",2400
"115",0,"V115",2400
"116",0,"V116",2400
"117",0,"V117",2400
"118",0,"V118",372
"119",0,"V119",2400
"120",0,"V120",2400
"121",0,"V121",2400
"122",0,"V122",91
"123",0,"V123",2400
"124",0,"V124",2400
"125",0,"V125",2400
"126",0,"V126",2400
"127",0,"V127",14
"128",0,"V128",2400
"129",0,"V129",2400
"130",0,"V130",2400
"131",0,"V131",2400
"132",0,"V132",2400
"133",0,"V133",2400
"134",0,"V134",2400
"135",0,"V135",2400
"136",0,"V136",2400
"137",0,"V137",339
"138",0,"V138",2
"139",0,"V139",2400
"140",0,"V140",2400
"141",0,"V141",2400
"142",0,"V142",1015
"143",0,"V143",2400
"144",0,"V144",2400
"145",0,"V145",2400
"146",0,"V146",2400
"147",0,"V147",2400
"148",0,"V148",2400
"149",0,"V149",2400
"150",0,"V150",2400
"151",0,"V151",2400
"152",0,"V152",2400
"153",0,"V153",2400
"154",0,"V154",2400
"155",0,"V155",2375
"156",0,"V156",345
"157",0,"V157",2400
"158",0,"V158",2400
"159",0,"V159",2400
"160",0,"V160",2400
"161",0,"V161",2400
"162",0,"V162",2
"163",0,"V163",2400
"164",0,"V164",2400
"165",0,"V165",72
"166",0,"V166",2400
"167",0,"V167",2400
"168",0,"V168",2156
"169",0,"V169",2400
"170",0,"V170",2400
"171",0,"V171",2400
"172",0,"V172",2400
"173",0,"V173",2400
"174",0,"V174",4
"175",0,"V175",138
"176",0,"V176",2400
"177",0,"V177",192
"178",0,"V178",2400
"179",0,"V179",2400
"180",0,"V180",2400
"181",0,"V181",2400
"182",0,"V182",2400
"183",0,"V183",2400
"184",0,"V184",2400
"185",0,"V185",45
"186",0,"V186",2400
"187",0,"V187",2400
"188",0,"V188",2400
"189",0,"V189",2400
"190",0,"V190",2400
"191",0,"V191",2400
"192",0,"V192",2400
"193",0,"V193",2400
"194",0,"V194",94
"195",0,"V195",2400
"196",0,"V196",2400
"197",0,"V197",2400
"198",0,"V198",382
"199",0,"V199",2400
"200",0,"V200",2400
