"snr","trial","stoppingT"
0,"V1",5
0,"V2",2400
0,"V3",2400
0,"V4",2400
0,"V5",2400
0,"V6",2400
0,"V7",2400
0,"V8",2400
0,"V9",2400
0,"V10",2400
0,"V11",2400
0,"V12",2400
0,"V13",14
0,"V14",2400
0,"V15",2400
0,"V16",2400
0,"V17",2400
0,"V18",2400
0,"V19",2400
0,"V20",2400
0,"V21",2400
0,"V22",2400
0,"V23",2400
0,"V24",2400
0,"V25",2400
0,"V26",34
0,"V27",2400
0,"V28",2400
0,"V29",2400
0,"V30",908
0,"V31",2400
0,"V32",2400
0,"V33",2151
0,"V34",2400
0,"V35",2400
0,"V36",2400
0,"V37",2400
0,"V38",2400
0,"V39",2400
0,"V40",2400
0,"V41",2400
0,"V42",21
0,"V43",2400
0,"V44",2400
0,"V45",2400
0,"V46",2400
0,"V47",2400
0,"V48",2400
0,"V49",2400
0,"V50",2400
0,"V51",2400
0,"V52",2400
0,"V53",2400
0,"V54",2400
0,"V55",2400
0,"V56",2400
0,"V57",2400
0,"V58",2400
0,"V59",2400
0,"V60",2090
0,"V61",2400
0,"V62",2400
0,"V63",2400
0,"V64",2400
0,"V65",2400
0,"V66",2400
0,"V67",2400
0,"V68",2400
0,"V69",2400
0,"V70",2400
0,"V71",2400
0,"V72",2400
0,"V73",2400
0,"V74",2400
0,"V75",2400
0,"V76",2400
0,"V77",1932
0,"V78",2400
0,"V79",2400
0,"V80",2400
0,"V81",2400
0,"V82",45
0,"V83",2400
0,"V84",2400
0,"V85",47
0,"V86",961
0,"V87",2400
0,"V88",2400
0,"V89",2400
0,"V90",2400
0,"V91",2400
0,"V92",2400
0,"V93",2400
0,"V94",2400
0,"V95",2400
0,"V96",2400
0,"V97",2400
0,"V98",2400
0,"V99",2400
0,"V100",2400
0,"V101",2400
0,"V102",2400
0,"V103",2400
0,"V104",2400
0,"V105",2400
0,"V106",2400
0,"V107",2400
0,"V108",2400
0,"V109",2400
0,"V110",693
0,"V111",1959
0,"V112",2400
0,"V113",2400
0,"V114",2400
0,"V115",2400
0,"V116",2400
0,"V117",2400
0,"V118",372
0,"V119",2400
0,"V120",2400
0,"V121",2400
0,"V122",91
0,"V123",2400
0,"V124",2400
0,"V125",2400
0,"V126",2400
0,"V127",14
0,"V128",2400
0,"V129",2400
0,"V130",2400
0,"V131",2400
0,"V132",2400
0,"V133",2400
0,"V134",2400
0,"V135",2400
0,"V136",2400
0,"V137",339
0,"V138",2
0,"V139",2400
0,"V140",2400
0,"V141",2400
0,"V142",1015
0,"V143",2400
0,"V144",2400
0,"V145",2400
0,"V146",2400
0,"V147",2400
0,"V148",2400
0,"V149",2400
0,"V150",2400
0,"V151",2400
0,"V152",2400
0,"V153",2400
0,"V154",2400
0,"V155",2375
0,"V156",345
0,"V157",2400
0,"V158",2400
0,"V159",2400
0,"V160",2400
0,"V161",2400
0,"V162",2
0,"V163",2400
0,"V164",2400
0,"V165",72
0,"V166",2400
0,"V167",2400
0,"V168",2156
0,"V169",2400
0,"V170",2400
0,"V171",2400
0,"V172",2400
0,"V173",2400
0,"V174",4
0,"V175",138
0,"V176",2400
0,"V177",192
0,"V178",2400
0,"V179",2400
0,"V180",2400
0,"V181",2400
0,"V182",2400
0,"V183",2400
0,"V184",2400
0,"V185",45
0,"V186",2400
0,"V187",2400
0,"V188",2400
0,"V189",2400
0,"V190",2400
0,"V191",2400
0,"V192",2400
0,"V193",2400
0,"V194",94
0,"V195",2400
0,"V196",2400
0,"V197",2400
0,"V198",382
0,"V199",2400
0,"V200",2400
0.02,"V1",2400
0.02,"V2",2400
0.02,"V3",2400
0.02,"V4",2400
0.02,"V5",2400
0.02,"V6",2400
0.02,"V7",2400
