n,kappa0,C_gamma,error_rate,power
500,0.1,0.42,0.98,1.0
500,0.2,0.42,0.93,1.0
500,0.3,0.42,0.862,1.0
500,0.4,0.42,0.742,1.0
500,0.5,0.42,0.612,1.0
500,0.6,0.42,0.484,1.0
500,0.7,0.42,0.323,1.0
500,0.8,0.42,0.215,1.0
500,0.9,0.42,0.104,0.999
500,1.0,0.42,0.062,1.0
500,1.1,0.42,0.013,1.0
500,1.2,0.42,0.001,1.0
500,1.3,0.42,0.003,0.999
500,1.4,0.42,0.001,0.987
500,1.5,0.42,0.0,0.958
500,1.6,0.42,0.0,0.871
500,1.7,0.42,0.0,0.778
500,1.8,0.42,0.0,0.71
500,1.9,0.42,0.0,0.652
500,2.0,0.42,0.0,0.637
500,2.1,0.42,0.0,0.625
500,2.2,0.42,0.0,0.578
500,2.3,0.42,0.0,0.535
500,2.4,0.42,0.0,0.502
500,2.5,0.42,0.0,0.5
500,2.6,0.42,0.0,0.396
500,2.7,0.42,0.0,0.341
500,2.8,0.42,0.0,0.242
500,2.9,0.42,0.0,0.173
500,3.0,0.42,0.0,0.077
500,3.1,0.42,0.0,0.036
500,3.2,0.42,0.0,0.018
500,3.3,0.42,0.0,0.004
500,3.4,0.42,0.0,0.0
500,3.5,0.42,0.0,0.0
500,0.1,0.45,0.985,1.0
500,0.2,0.45,0.936,1.0
500,0.3,0.45,0.88,1.0
500,0.4,0.45,0.753,1.0
500,0.5,0.45,0.619,0.999
500,0.6,0.45,0.49,1.0
500,0.7,0.45,0.322,1.0
500,0.8,0.45,0.215,0.993
500,0.9,0.45,0.114,0.982
500,1.0,0.45,0.07,0.96
500,1.1,0.45,0.022,0.905
500,1.2,0.45,0.01,0.834
500,1.3,0.45,0.002,0.789
500,1.4,0.45,0.0,0.724
500,1.5,0.45,0.0,0.712
500,1.6,0.45,0.0,0.7
500,1.7,0.45,0.0,0.686
500,1.8,0.45,0.0,0.649
500,1.9,0.45,0.0,0.643
500,2.0,0.45,0.0,0.604
500,2.1,0.45,0.0,0.625
500,2.2,0.45,0.0,0.611
500,2.3,0.45,0.0,0.554
500,2.4,0.45,0.0,0.554
500,2.5,0.45,0.0,0.518
500,2.6,0.45,0.0,0.428
500,2.7,0.45,0.0,0.338
500,2.8,0.45,0.0,0.286
500,2.9,0.45,0.0,0.183
500,3.0,0.45,0.0,0.113
500,3.1,0.45,0.0,0.043
500,3.2,0.45,0.0,0.015
500,3.3,0.45,0.0,0.003
500,3.4,0.45,0.0,0.0
500,3.5,0.45,0.0,0.0
500,0.1,0.48,0.987,0.998
500,0.2,0.48,0.935,0.991
500,0.3,0.48,0.877,0.984
500,0.4,0.48,0.757,0.968
500,0.5,0.48,0.649,0.947
500,0.6,0.48,0.493,0.921
500,0.7,0.48,0.359,0.855
500,0.8,0.48,0.231,0.852
500,0.9,0.48,0.139,0.801
500,1.0,0.48,0.068,0.781
500,1.1,0.48,0.024,0.74
500,1.2,0.48,0.008,0.715
500,1.3,0.48,0.003,0.718
500,1.4,0.48,0.001,0.717
500,1.5,0.48,0.0,0.695
500,1.6,0.48,0.0,0.692
500,1.7,0.48,0.0,0.688
500,1.8,0.48,0.0,0.65
500,1.9,0.48,0.0,0.647
500,2.0,0.48,0.0,0.646
500,2.1,0.48,0.0,0.606
500,2.2,0.48,0.0,0.593
500,2.3,0.48,0.0,0.577
500,2.4,0.48,0.0,0.557
500,2.5,0.48,0.0,0.483
500,2.6,0.48,0.0,0.454
500,2.7,0.48,0.0,0.36
500,2.8,0.48,0.0,0.285
500,2.9,0.48,0.0,0.178
500,3.0,0.48,0.0,0.095
500,3.1,0.48,0.0,0.049
500,3.2,0.48,0.0,0.012
500,3.3,0.48,0.0,0.002
500,3.4,0.48,0.0,0.001
500,3.5,0.48,0.0,0.0
