"n","kappa0","type1_error","type2_error"
500,0.15,0.902,0.099
600,0.15,0.873,0.139
700,0.15,0.864,0.159
800,0.15,0.799,0.18
900,0.15,0.79,0.231
1000,0.15,0.766,0.24
1100,0.15,0.684,0.29
1200,0.15,0.683,0.294
1300,0.15,0.605,0.338
1400,0.15,0.62,0.346
1500,0.15,0.557,0.414
1600,0.15,0.53,0.421
1700,0.15,0.51,0.422
1800,0.15,0.469,0.46
1900,0.15,0.438,0.466
2000,0.15,0.422,0.453
2100,0.15,0.367,0.483
2200,0.15,0.39,0.486
2300,0.15,0.354,0.487
2400,0.15,0.295,0.525
2500,0.15,0.292,0.501
2600,0.15,0.278,0.516
2700,0.15,0.248,0.525
2800,0.15,0.235,0.521
2900,0.15,0.204,0.498
3000,0.15,0.189,0.491
500,0.16,0.9,0.099
600,0.16,0.851,0.137
700,0.16,0.813,0.189
800,0.16,0.775,0.211
900,0.16,0.747,0.262
1000,0.16,0.73,0.3
1100,0.16,0.639,0.308
1200,0.16,0.623,0.345
1300,0.16,0.594,0.369
1400,0.16,0.54,0.414
1500,0.16,0.537,0.408
1600,0.16,0.467,0.429
1700,0.16,0.455,0.436
1800,0.16,0.421,0.469
1900,0.16,0.405,0.482
2000,0.16,0.342,0.467
2100,0.16,0.327,0.476
2200,0.16,0.31,0.472
2300,0.16,0.274,0.481
2400,0.16,0.243,0.507
2500,0.16,0.22,0.49
2600,0.16,0.216,0.47
2700,0.16,0.194,0.464
2800,0.16,0.167,0.457
2900,0.16,0.168,0.481
3000,0.16,0.116,0.502
500,0.17,0.89,0.124
600,0.17,0.826,0.161
700,0.17,0.798,0.198
800,0.17,0.786,0.242
900,0.17,0.712,0.283
1000,0.17,0.651,0.307
1100,0.17,0.628,0.36
1200,0.17,0.559,0.386
1300,0.17,0.515,0.404
1400,0.17,0.512,0.411
1500,0.17,0.468,0.413
1600,0.17,0.447,0.424
1700,0.17,0.384,0.423
1800,0.17,0.357,0.443
1900,0.17,0.316,0.461
2000,0.17,0.282,0.435
2100,0.17,0.259,0.47
2200,0.17,0.242,0.437
2300,0.17,0.213,0.462
2400,0.17,0.201,0.456
2500,0.17,0.177,0.469
2600,0.17,0.161,0.463
2700,0.17,0.135,0.442
2800,0.17,0.116,0.449
2900,0.17,0.117,0.454
3000,0.17,0.087,0.447
500,0.18,0.865,0.14
600,0.18,0.794,0.193
700,0.18,0.758,0.21
800,0.18,0.746,0.289
900,0.18,0.661,0.288
1000,0.18,0.638,0.327
1100,0.18,0.593,0.383
1200,0.18,0.536,0.377
1300,0.18,0.495,0.433
1400,0.18,0.464,0.402
1500,0.18,0.396,0.405
1600,0.18,0.361,0.408
1700,0.18,0.34,0.446
1800,0.18,0.314,0.486
1900,0.18,0.244,0.454
2000,0.18,0.248,0.43
2100,0.18,0.209,0.443
2200,0.18,0.177,0.454
2300,0.18,0.168,0.414
2400,0.18,0.15,0.434
2500,0.18,0.127,0.428
2600,0.18,0.106,0.416
2700,0.18,0.081,0.429
2800,0.18,0.093,0.399
2900,0.18,0.061,0.403
3000,0.18,0.057,0.421
500,0.19,0.836,0.122
600,0.19,0.783,0.206
700,0.19,0.735,0.246
800,0.19,0.68,0.303
900,0.19,0.62,0.342
1000,0.19,0.588,0.331
1100,0.19,0.565,0.359
1200,0.19,0.454,0.409
1300,0.19,0.428,0.413
1400,0.19,0.402,0.437
