"n","p","type1_error","type2_error"
500,50,0.004,0.0669999999999999
550,50,0,0.048
600,50,0,0.035
650,50,0,0.021
700,50,0,0.016
750,50,0,0.014
800,50,0,0.00600000000000001
850,50,0,0.00800000000000001
900,50,0,0.005
950,50,0,0.004
1000,50,0,0.002
1050,50,0,0.001
1100,50,0,0
1150,50,0,0.001
1200,50,0,0
1250,50,0,0
1300,50,0,0.002
1350,50,0,0
1400,50,0,0.002
1450,50,0,0
1500,50,0,0
1550,50,0,0
1600,50,0,0
1650,50,0,0
1700,50,0,0
1750,50,0,0
1800,50,0,0
1850,50,0,0
1900,50,0,0
1950,50,0,0
2000,50,0,0
500,100,0.027,0.15
550,100,0.008,0.092
600,100,0.004,0.075
650,100,0.001,0.0610000000000001
700,100,0,0.049
750,100,0.001,0.039
800,100,0,0.024
850,100,0,0.024
900,100,0,0.025
950,100,0,0.011
1000,100,0,0.00800000000000001
1050,100,0,0.00700000000000001
1100,100,0,0.005
1150,100,0,0.004
1200,100,0,0.002
1250,100,0,0.00800000000000001
1300,100,0,0.002
1350,100,0,0
1400,100,0,0.001
1450,100,0,0
1500,100,0,0
1550,100,0,0.001
1600,100,0,0.001
1650,100,0,0.001
1700,100,0,0
1750,100,0,0
1800,100,0,0
1850,100,0,0
1900,100,0,0
1950,100,0,0
2000,100,0,0
500,150,0.072,0.189
550,150,0.036,0.172
600,150,0.019,0.131
650,150,0.007,0.11
700,150,0.004,0.099
750,150,0.005,0.074
800,150,0.002,0.0639999999999999
850,150,0.001,0.0590000000000001
900,150,0,0.034
950,150,0,0.027
1000,150,0,0.029
1050,150,0,0.021
1100,150,0,0.014
1150,150,0,0.013
1200,150,0,0.00700000000000001
1250,150,0,0.012
1300,150,0,0.005
1350,150,0,0.004
1400,150,0,0.003
1450,150,0,0.004
1500,150,0,0.001
1550,150,0,0
1600,150,0,0.001
1650,150,0,0
1700,150,0,0
1750,150,0,0.001
1800,150,0,0
1850,150,0,0
1900,150,0,0
1950,150,0,0.001
2000,150,0,0.001
500,200,0.108,0.263
550,200,0.078,0.222
600,200,0.045,0.2
650,200,0.028,0.164
700,200,0.019,0.132
750,200,0.013,0.101
800,200,0.008,0.095
850,200,0.004,0.081
900,200,0.002,0.0610000000000001
950,200,0,0.055
1000,200,0,0.038
1050,200,0,0.032
1100,200,0,0.024
1150,200,0,0.032
1200,200,0,0.017
1250,200,0,0.00900000000000001
1300,200,0,0.015
1350,200,0,0.00900000000000001
1400,200,0,0.00800000000000001
1450,200,0,0.005
1500,200,0,0.00600000000000001
1550,200,0,0.00700000000000001
1600,200,0,0.001
1650,200,0,0.004
1700,200,0,0.002
1750,200,0,0.002
1800,200,0,0.001
1850,200,0,0
1900,200,0,0.001
1950,200,0,0.001
2000,200,0,0.001
500,250,0.113,0.268
550,250,0.099,0.271
600,250,0.058,0.249
650,250,0.049,0.227
700,250,0.023,0.194
750,250,0.018,0.142
800,250,0.015,0.128
850,250,0.005,0.12
900,250,0.005,0.095
950,250,0.002,0.0639999999999999
1000,250,0.001,0.075
1050,250,0.001,0.0580000000000001
1100,250,0,0.04
1150,250,0.001,0.035
1200,250,0,0.019
1250,250,0,0.037
1300,250,0,0.018
1350,250,0,0.015
1400,250,0,0.019
1450,250,0,0.015
1500,250,0,0.002
1550,250,0,0.00600000000000001
1600,250,0,0.00600000000000001
1650,250,0,0.001
1700,250,0,0.005
1750,250,0,0.002
1800,250,0,0.004
1850,250,0,0.001
1900,250,0,0.003
1950,250,0,0.002
2000,250,0,0
500,300,0.142,0.365
550,300,0.114,0.287
600,300,0.089,0.254
650,300,0.068,0.248
700,300,0.039,0.233
750,300,0.017,0.19
800,300,0.024,0.156
850,300,0.014,0.15
900,300,0.007,0.127
950,300,0.005,0.092
1000,300,0.002,0.098
1050,300,0.003,0.08
1100,300,0.002,0.052
1150,300,0,0.045
1200,300,0.001,0.043
1250,300,0,0.035
1300,300,0,0.018
1350,300,0,0.016
1400,300,0,0.014
1450,300,0,0.01
1500,300,0,0.022
1550,300,0,0.014
1600,300,0,0.00600000000000001
1650,300,0,0.00900000000000001
1700,300,0,0.00600000000000001
1750,300,0,0.004
1800,300,0,0.00700000000000001
1850,300,0,0.004
1900,300,0,0
1950,300,0,0.002
2000,300,0,0.005
500,350,0.177,0.334
550,350,0.165,0.333
600,350,0.087,0.324
650,350,0.075,0.278
700,350,0.06,0.237
750,350,0.044,0.209
800,350,0.031,0.178
850,350,0.023,0.173
900,350,0.012,0.153
950,350,0.008,0.119
1000,350,0.003,0.114
1050,350,0.004,0.087
1100,350,0.001,0.089
1150,350,0,0.076
1200,350,0.002,0.05
1250,350,0,0.048
1300,350,0,0.042
1350,350,0,0.038
1400,350,0,0.038
1450,350,0,0.022
1500,350,0,0.015
1550,350,0,0.021
1600,350,0,0.012
1650,350,0,0.01
1700,350,0,0.012
1750,350,0,0.005
1800,350,0,0.00800000000000001
1850,350,0,0.00800000000000001
1900,350,0,0.004
1950,350,0,0.002
2000,350,0,0.001
500,400,0.231,0.371
550,400,0.165,0.348
600,400,0.114,0.348
650,400,0.106,0.298
700,400,0.069,0.292
750,400,0.059,0.236
800,400,0.05,0.203
850,400,0.039,0.2
900,400,0.017,0.175
950,400,0.013,0.13
1000,400,0.01,0.122
1050,400,0.006,0.098
1100,400,0.003,0.107
1150,400,0.001,0.089
1200,400,0.001,0.077
1250,400,0.002,0.0580000000000001
