"n","kappa0","type1_error","type2_error"
500,0.15,1,0.603
600,0.15,1,0.544
700,0.15,1,0.339
800,0.15,1,0.184
900,0.15,1,0.099
1000,0.15,1,0.037
1100,0.15,1,0.018
1200,0.15,1,0.00600000000000001
1300,0.15,1,0.003
1400,0.15,1,0.001
1500,0.15,0.999,0
1600,0.15,0.99,0
1700,0.15,0.967,0
1800,0.15,0.805,0
1900,0.15,0.546,0
2000,0.15,0.191,0
2100,0.15,0.005,0
2200,0.15,0,0
2300,0.15,0,0
2400,0.15,0,0
2500,0.15,0,0
2600,0.15,0,0
2700,0.15,0,0
2800,0.15,0,0
2900,0.15,0,0
3000,0.15,0,0
500,0.16,1,0.536
600,0.16,1,0.331
700,0.16,1,0.192
800,0.16,1,0.073
900,0.16,1,0.029
1000,0.16,1,0.00900000000000001
1100,0.16,1,0.004
1200,0.16,1,0.001
1300,0.16,0.999,0
1400,0.16,0.994,0
1500,0.16,0.972,0
1600,0.16,0.893,0.001
1700,0.16,0.577,0
1800,0.16,0.151,0
1900,0.16,0.001,0
2000,0.16,0,0
2100,0.16,0,0
2200,0.16,0,0
2300,0.16,0,0
2400,0.16,0,0
2500,0.16,0,0
2600,0.16,0,0
2700,0.16,0,0
2800,0.16,0,0
2900,0.16,0,0
3000,0.16,0,0
500,0.17,1,0.392
600,0.17,1,0.172
700,0.17,1,0.094
800,0.17,1,0.011
900,0.17,1,0.005
1000,0.17,1,0.00600000000000001
1100,0.17,0.999,0.004
1200,0.17,0.998,0
1300,0.17,0.988,0
1400,0.17,0.94,0
1500,0.17,0.732,0
1600,0.17,0.284,0
1700,0.17,0.008,0
1800,0.17,0,0
1900,0.17,0,0
2000,0.17,0,0
2100,0.17,0,0
2200,0.17,0,0
2300,0.17,0,0
2400,0.17,0,0
2500,0.17,0,0
2600,0.17,0,0
2700,0.17,0,0
2800,0.17,0,0
2900,0.17,0,0
3000,0.17,0,0
500,0.18,1,0.23
600,0.18,1,0.091
700,0.18,1,0.022
800,0.18,1,0.00600000000000001
900,0.18,1,0.003
1000,0.18,1,0
1100,0.18,0.998,0
1200,0.18,0.982,0
1300,0.18,0.886,0
1400,0.18,0.582,0
1500,0.18,0.102,0
1600,0.18,0,0
1700,0.18,0,0
1800,0.18,0,0
1900,0.18,0,0
2000,0.18,0,0
2100,0.18,0,0
2200,0.18,0,0
2300,0.18,0,0
2400,0.18,0,0
2500,0.18,0,0
2600,0.18,0,0
2700,0.18,0,0
2800,0.18,0,0
2900,0.18,0,0
3000,0.18,0,0
500,0.19,1,0.123
600,0.19,1,0.029
700,0.19,1,0.003
800,0.19,1,0.001
900,0.19,1,0
1000,0.19,0.998,0
1100,0.19,0.972,0
1200,0.19,0.868,0
1300,0.19,0.473,0
1400,0.19,0.039,0
1500,0.19,0,0
1600,0.19,0,0
1700,0.19,0,0
1800,0.19,0,0
1900,0.19,0,0
2000,0.19,0,0
2100,0.19,0,0
2200,0.19,0,0
2300,0.19,0,0
2400,0.19,0,0
2500,0.19,0,0
2600,0.19,0,0
2700,0.19,0,0
2800,0.19,0,0
2900,0.19,0,0
3000,0.19,0,0
500,0.2,1,0.045
600,0.2,1,0.013
700,0.2,1,0.001
800,0.2,1,0.001
900,0.2,0.998,0
1000,0.2,0.988,0
1100,0.2,0.886,0
1200,0.2,0.439,0
1300,0.2,0.026,0
1400,0.2,0,0
1500,0.2,0,0
1600,0.2,0,0
1700,0.2,0,0
1800,0.2,0,0
1900,0.2,0,0
2000,0.2,0,0
2100,0.2,0,0
2200,0.2,0,0
2300,0.2,0,0
2400,0.2,0,0
2500,0.2,0,0
2600,0.2,0,0
2700,0.2,0,0
2800,0.2,0,0
2900,0.2,0,0
3000,0.2,0,0
500,0.21,1,0.018
600,0.21,1,0.001
700,0.21,0.999,0
800,0.21,1,0
900,0.21,0.986,0
1000,0.21,0.907,0
1100,0.21,0.533,0
1200,0.21,0.026,0
1300,0.21,0,0
1400,0.21,0,0
1500,0.21,0,0
1600,0.21,0,0
1700,0.21,0,0
1800,0.21,0,0
1900,0.21,0,0
2000,0.21,0,0
2100,0.21,0,0
2200,0.21,0,0
2300,0.21,0,0
2400,0.21,0,0
2500,0.21,0,0
2600,0.21,0,0
2700,0.21,0,0
2800,0.21,0,0
2900,0.21,0,0
3000,0.21,0,0
500,0.22,1,0.005
600,0.22,1,0.001
700,0.22,0.999,0
800,0.22,0.993,0
900,0.22,0.952,0
1000,0.22,0.654,0
1100,0.22,0.076,0
1200,0.22,0,0
1300,0.22,0,0
1400,0.22,0,0
1500,0.22,0,0
1600,0.22,0,0
1700,0.22,0,0
1800,0.22,0,0
1900,0.22,0,0
2000,0.22,0,0
2100,0.22,0,0
2200,0.22,0,0
2300,0.22,0,0
2400,0.22,0,0
2500,0.22,0,0
2600,0.22,0,0
2700,0.22,0,0
2800,0.22,0,0
2900,0.22,0,0
3000,0.22,0,0
500,0.23,1,0
600,0.23,1,0
700,0.23,0.997,0
800,0.23,0.983,0
900,0.23,0.828,0
1000,0.23,0.225,0
1100,0.23,0,0
1200,0.23,0,0
1300,0.23,0,0
1400,0.23,0,0
1500,0.23,0,0
1600,0.23,0,0
1700,0.23,0,0
1800,0.23,0,0
1900,0.23,0,0
2000,0.23,0,0
2100,0.23,0,0
2200,0.23,0,0
2300,0.23,0,0
2400,0.23,0,0
2500,0.23,0,0
2600,0.23,0,0
2700,0.23,0,0
2800,0.23,0,0
2900,0.23,0,0
3000,0.23,0,0
500,0.24,1,0.001
600,0.24,1,0
700,0.24,0.995,0
800,0.24,0.927,0
900,0.24,0.499,0
1000,0.24,0.003,0
1100,0.24,0,0
1200,0.24,0,0
1300,0.24,0,0
1400,0.24,0,0
1500,0.24,0,0
1600,0.24,0,0
1700,0.24,0,0
1800,0.24,0,0
1900,0.24,0,0
2000,0.24,0,0
2100,0.24,0,0
2200,0.24,0,0
2300,0.24,0,0
2400,0.24,0,0
2500,0.24,0,0
2600,0.24,0,0
2700,0.24,0,0
2800,0.24,0,0
2900,0.24,0,0
3000,0.24,0,0
500,0.25,1,0
600,0.25,1,0
700,0.25,0.991,0
800,0.25,0.785,0
900,0.25,0.117,0
1000,0.25,0,0
1100,0.25,0,0
1200,0.25,0,0
1300,0.25,0,0
1400,0.25,0,0
1500,0.25,0,0
1600,0.25,0,0
1700,0.25,0,0
1800,0.25,0,0
1900,0.25,0,0
2000,0.25,0,0
2100,0.25,0,0
2200,0.25,0,0
2300,0.25,0,0
2400,0.25,0,0
2500,0.25,0,0
2600,0.25,0,0
2700,0.25,0,0
2800,0.25,0,0
2900,0.25,0,0
3000,0.25,0,0
500,0.26,1,0
600,0.26,0.999,0
700,0.26,0.953,0
800,0.26,0.487,0
900,0.26,0.001,0
1000,0.26,0,0
1100,0.26,0,0
1200,0.26,0,0
1300,0.26,0,0
1400,0.26,0,0
1500,0.26,0,0
1600,0.26,0,0
1700,0.26,0,0
1800,0.26,0,0
1900,0.26,0,0
2000,0.26,0,0
2100,0.26,0,0
2200,0.26,0,0
2300,0.26,0,0
2400,0.26,0,0
2500,0.26,0,0
2600,0.26,0,0
2700,0.26,0,0
2800,0.26,0,0
2900,0.26,0,0
3000,0.26,0,0
500,0.27,1,0
600,0.27,0.995,0
700,0.27,0.855,0
800,0.27,0.129,0
900,0.27,0,0
1000,0.27,0,0
1100,0.27,0,0
1200,0.27,0,0
1300,0.27,0,0
1400,0.27,0,0
1500,0.27,0,0
1600,0.27,0,0
1700,0.27,0,0
1800,0.27,0,0
1900,0.27,0,0
2000,0.27,0,0
2100,0.27,0,0
2200,0.27,0,0
2300,0.27,0,0
2400,0.27,0,0
2500,0.27,0,0
2600,0.27,0,0
2700,0.27,0,0
2800,0.27,0,0
2900,0.27,0,0
3000,0.27,0,0
500,0.28,1,0
600,0.28,0.981,0
700,0.28,0.655,0
800,0.28,0.005,0
900,0.28,0,0
1000,0.28,0,0
1100,0.28,0,0
1200,0.28,0,0
1300,0.28,0,0
1400,0.28,0,0
1500,0.28,0,0
1600,0.28,0,0
1700,0.28,0,0
1800,0.28,0,0
1900,0.28,0,0
2000,0.28,0,0
2100,0.28,0,0
2200,0.28,0,0
2300,0.28,0,0
2400,0.28,0,0
2500,0.28,0,0
2600,0.28,0,0
2700,0.28,0,0
2800,0.28,0,0
2900,0.28,0,0
3000,0.28,0,0
500,0.29,0.998,0
600,0.29,0.934,0
700,0.29,0.341,0
800,0.29,0,0
900,0.29,0,0
1000,0.29,0,0
1100,0.29,0,0
1200,0.29,0,0
1300,0.29,0,0
1400,0.29,0,0
1500,0.29,0,0
1600,0.29,0,0
1700,0.29,0,0
1800,0.29,0,0
1900,0.29,0,0
2000,0.29,0,0
2100,0.29,0,0
2200,0.29,0,0
2300,0.29,0,0
2400,0.29,0,0
2500,0.29,0,0
2600,0.29,0,0
2700,0.29,0,0
2800,0.29,0,0
2900,0.29,0,0
3000,0.29,0,0
500,0.3,0.999,0
600,0.3,0.871,0
700,0.3,0.077,0
800,0.3,0,0
900,0.3,0,0
1000,0.3,0,0
1100,0.3,0,0
1200,0.3,0,0
1300,0.3,0,0
1400,0.3,0,0
1500,0.3,0,0
1600,0.3,0,0
1700,0.3,0,0
1800,0.3,0,0
1900,0.3,0,0
2000,0.3,0,0
2100,0.3,0,0
2200,0.3,0,0
2300,0.3,0,0
2400,0.3,0,0
2500,0.3,0,0
2600,0.3,0,0
2700,0.3,0,0
2800,0.3,0,0
2900,0.3,0,0
3000,0.3,0,0
500,0.31,0.992,0
600,0.31,0.692,0
700,0.31,0.001,0
800,0.31,0,0
900,0.31,0,0
1000,0.31,0,0
1100,0.31,0,0
1200,0.31,0,0
1300,0.31,0,0
1400,0.31,0,0
1500,0.31,0,0
1600,0.31,0,0
1700,0.31,0,0
1800,0.31,0,0
1900,0.31,0,0
2000,0.31,0,0
2100,0.31,0,0
2200,0.31,0,0
2300,0.31,0,0
2400,0.31,0,0
2500,0.31,0,0
2600,0.31,0,0
2700,0.31,0,0
2800,0.31,0,0
2900,0.31,0,0
3000,0.31,0,0
500,0.32,0.976,0
600,0.32,0.433,0
700,0.32,0,0
800,0.32,0,0
900,0.32,0,0
1000,0.32,0,0
1100,0.32,0,0
1200,0.32,0,0
1300,0.32,0,0
1400,0.32,0,0
1500,0.32,0,0
1600,0.32,0,0
1700,0.32,0,0
1800,0.32,0,0
1900,0.32,0,0
2000,0.32,0,0
2100,0.32,0,0
2200,0.32,0,0
2300,0.32,0,0
2400,0.32,0,0
2500,0.32,0,0
2600,0.32,0,0
2700,0.32,0,0
2800,0.32,0,0
2900,0.32,0,0
3000,0.32,0,0
500,0.33,0.962,0
600,0.33,0.2,0
700,0.33,0,0
800,0.33,0,0
900,0.33,0,0
1000,0.33,0,0
1100,0.33,0,0
1200,0.33,0,0
1300,0.33,0,0
1400,0.33,0,0
1500,0.33,0,0
1600,0.33,0,0
1700,0.33,0,0
1800,0.33,0,0
1900,0.33,0,0
2000,0.33,0,0
2100,0.33,0,0
2200,0.33,0,0
2300,0.33,0,0
2400,0.33,0,0
2500,0.33,0,0
2600,0.33,0,0
2700,0.33,0,0
2800,0.33,0,0
2900,0.33,0,0
3000,0.33,0,0
500,0.34,0.907,0
600,0.34,0.034,0
700,0.34,0,0
800,0.34,0,0
900,0.34,0,0
1000,0.34,0,0
1100,0.34,0,0
1200,0.34,0,0
1300,0.34,0,0
1400,0.34,0,0
1500,0.34,0,0
1600,0.34,0,0
