"n","p","type1_error","type2_error"
500,50,0,0.034
600,50,0,0.004
700,50,0,0
800,50,0,0
900,50,0,0
1000,50,0,0
1100,50,0,0
1200,50,0,0
1300,50,0,0
1400,50,0,0
1500,50,0,0
1600,50,0,0
1700,50,0,0
1800,50,0,0
1900,50,0,0
2000,50,0,0
2100,50,0,0
2200,50,0,0
2300,50,0,0
2400,50,0,0
2500,50,0,0
2600,50,0,0
2700,50,0,0
2800,50,0,0
2900,50,0,0
3000,50,0,0
500,75,0.947,0.34
600,75,0.085,0.178
700,75,0,0.033
800,75,0,0.005
900,75,0,0.001
1000,75,0,0
1100,75,0,0
1200,75,0,0
1300,75,0,0
1400,75,0,0
1500,75,0,0
1600,75,0,0
1700,75,0,0
1800,75,0,0
1900,75,0,0
2000,75,0,0
2100,75,0,0
2200,75,0,0
2300,75,0,0
2400,75,0,0
2500,75,0,0
2600,75,0,0
2700,75,0,0
2800,75,0,0
2900,75,0,0
3000,75,0,0
500,100,1,0.818
600,100,0.994,0.535
700,100,0.643,0.303
800,100,0.015,0.111
900,100,0,0.033
1000,100,0,0.00700000000000001
1100,100,0,0.001
1200,100,0,0
1300,100,0,0.001
1400,100,0,0
1500,100,0,0
1600,100,0,0
1700,100,0,0
1800,100,0,0
1900,100,0,0
2000,100,0,0
2100,100,0,0
2200,100,0,0
2300,100,0,0
2400,100,0,0
2500,100,0,0
2600,100,0,0
2700,100,0,0
2800,100,0,0
2900,100,0,0
3000,100,0,0
500,125,1,0.98
600,125,1,0.904
700,125,1,0.676
800,125,0.923,0.414
900,125,0.26,0.258
1000,125,0,0.098
1100,125,0,0.025
1200,125,0,0.003
1300,125,0,0.002
1400,125,0,0.001
1500,125,0,0
1600,125,0,0
1700,125,0,0
1800,125,0,0
1900,125,0,0
2000,125,0,0
2100,125,0,0
2200,125,0,0
2300,125,0,0
2400,125,0,0
2500,125,0,0
2600,125,0,0
2700,125,0,0
2800,125,0,0
2900,125,0,0
3000,125,0,0
500,150,1,1
600,150,1,0.992
700,150,1,0.931
800,150,1,0.792
900,150,0.986,0.507
1000,150,0.674,0.301
1100,150,0.065,0.185
1200,150,0,0.0669999999999999
1300,150,0,0.022
1400,150,0,0.00700000000000001
1500,150,0,0.001
1600,150,0,0
1700,150,0,0
1800,150,0,0
1900,150,0,0
2000,150,0,0
2100,150,0,0
2200,150,0,0
2300,150,0,0
2400,150,0,0
2500,150,0,0
2600,150,0,0
2700,150,0,0
2800,150,0,0
2900,150,0,0
3000,150,0,0
500,175,1,0.998
600,175,1,1
700,175,1,0.995
800,175,1,0.964
900,175,1,0.832
1000,175,1,0.612
1100,175,0.908,0.396
1200,175,0.324,0.28
1300,175,0.016,0.153
1400,175,0,0.054
1500,175,0,0.015
1600,175,0,0.004
1700,175,0,0.002
1800,175,0,0.001
1900,175,0,0
2000,175,0,0
2100,175,0,0
2200,175,0,0
2300,175,0,0
2400,175,0,0
2500,175,0,0
2600,175,0,0
2700,175,0,0
2800,175,0,0
2900,175,0,0
3000,175,0,0
500,200,1,0.908
600,200,1,1
700,200,1,1
800,200,1,0.994
900,200,1,0.978
1000,200,1,0.871
1100,200,0.999,0.675
1200,200,0.978,0.506
1300,200,0.647,0.343
1400,200,0.105,0.243
1500,200,0,0.125
1600,200,0,0.043
1700,200,0,0.011
1800,200,0,0.004
1900,200,0,0.001
2000,200,0,0
2100,200,0,0
2200,200,0,0
2300,200,0,0
2400,200,0,0
2500,200,0,0
2600,200,0,0
2700,200,0,0
2800,200,0,0
2900,200,0,0
3000,200,0,0
500,225,1,0.566
600,225,1,0.996
700,225,1,1
800,225,1,1
900,225,1,0.998
1000,225,1,0.985
1100,225,1,0.893
1200,225,1,0.782
1300,225,0.995,0.596
1400,225,0.87,0.384
1500,225,0.303,0.313
1600,225,0.03,0.178
1700,225,0,0.079
1800,225,0,0.024
1900,225,0,0.01
2000,225,0,0
2100,225,0,0
2200,225,0,0
2300,225,0,0
2400,225,0,0
2500,225,0,0
2600,225,0,0
2700,225,0,0
2800,225,0,0
2900,225,0,0
3000,225,0,0
500,250,1,0.148
600,250,1,0.898
700,250,1,0.999
800,250,1,1
900,250,1,1
1000,250,1,0.994
1100,250,1,0.983
1200,250,1,0.93
1300,250,1,0.815
1400,250,1,0.65
1500,250,0.946,0.478
1600,250,0.581,0.363
1700,250,0.101,0.248
1800,250,0.001,0.147
1900,250,0,0.0570000000000001
2000,250,0,0.02
2100,250,0,0.012
2200,250,0,0.001
2300,250,0,0
2400,250,0,0
